SL. no,Crop,Season,Temperature in C,Organic Content in %,Moisture in %,fertiliser %,pesticide usage %,estimated quality,Nitrogen %,Phosphorous %,Potassium %,Yield
1548,Potato,Kharif & Rabbi,34,27,57,76,41,53,0.064,0.407,0.537,67
1549,Potato,Kharif & Rabbi,34,31,47,73,58,38,0.118,0.525,0.739,71
1550,Potato,Kharif & Rabbi,34,25,66,61,37,49,0.064,0.493,0.524,71
1551,Potato,Kharif & Rabbi,36,48,61,69,46,50,0.111,0.489,0.57,58
1552,Potato,Kharif & Rabbi,28,41,50,66,33,56,0.101,0.434,0.578,69
1553,Potato,Kharif & Rabbi,26,39,42,75,55,40,0.113,0.52,0.722,66
1554,Potato,Kharif & Rabbi,33,32,43,59,52,46,0.062,0.496,0.595,51
1555,Potato,Kharif & Rabbi,33,23,47,79,58,42,0.11,0.389,0.609,64
1556,Potato,Kharif & Rabbi,33,31,47,60,53,33,0.089,0.474,0.63,53
1557,Potato,Kharif & Rabbi,35,24,66,64,35,39,0.093,0.4,0.72,62
1558,Potato,Kharif & Rabbi,34,62,64,33,41,85,0.136,0.541,0.816,74
1559,Potato,Kharif & Rabbi,36,48,57,73,40,45,0.104,0.501,0.608,69
1560,Potato,Kharif & Rabbi,36,24,39,70,43,46,0.077,0.436,0.765,61
1561,Potato,Kharif & Rabbi,25,67,61,26,35,77,0.105,0.589,0.763,78
1562,Potato,Kharif & Rabbi,29,65,55,27,32,81,0.065,0.534,0.717,84
1563,Potato,Kharif & Rabbi,30,62,35,44,53,57,0.087,0.461,0.779,79
1564,Potato,Kharif & Rabbi,32,40,66,76,37,48,0.043,0.41,0.595,59
1565,Potato,Kharif & Rabbi,28,54,56,27,50,55,0.076,0.548,0.794,69
1566,Potato,Kharif & Rabbi,30,52,47,35,58,60,0.115,0.545,0.81,76
1567,Potato,Kharif & Rabbi,29,38,46,80,56,46,0.051,0.468,0.703,51
1568,Potato,Kharif & Rabbi,25,28,35,80,49,57,0.086,0.46,0.52,70
1569,Potato,Kharif & Rabbi,29,71,38,42,37,75,0.094,0.574,0.757,90
1570,Potato,Kharif & Rabbi,25,67,36,47,45,77,0.097,0.541,0.743,78
1571,Potato,Kharif & Rabbi,26,39,38,72,38,51,0.072,0.387,0.566,63
1572,Potato,Kharif & Rabbi,30,24,45,76,34,45,0.05,0.418,0.549,71
1573,Potato,Kharif & Rabbi,27,24,46,64,55,41,0.081,0.435,0.591,66
1574,Potato,Kharif & Rabbi,35,68,36,53,44,55,0.138,0.451,0.734,67
1575,Potato,Kharif & Rabbi,30,40,63,62,37,53,0.058,0.469,0.679,66
1576,Potato,Kharif & Rabbi,32,35,53,71,58,43,0.074,0.399,0.733,68
1577,Potato,Kharif & Rabbi,27,68,49,55,32,52,0.131,0.454,0.735,69
1578,Potato,Kharif & Rabbi,28,51,67,27,55,51,0.123,0.533,0.803,75
1579,Potato,Kharif & Rabbi,33,71,51,26,56,47,0.101,0.568,0.719,79
1580,Potato,Kharif & Rabbi,30,47,50,58,37,47,0.082,0.418,0.625,59
1581,Potato,Kharif & Rabbi,30,26,67,79,43,51,0.049,0.446,0.607,69
1582,Potato,Kharif & Rabbi,28,64,60,25,53,43,0.086,0.567,0.795,71
1583,Potato,Kharif & Rabbi,31,68,42,38,32,86,0.119,0.56,0.713,80
1584,Potato,Kharif & Rabbi,32,33,65,61,51,33,0.114,0.508,0.616,72
1585,Potato,Kharif & Rabbi,36,27,60,70,45,47,0.078,0.531,0.677,67
1586,Potato,Kharif & Rabbi,31,57,41,45,60,43,0.129,0.485,0.735,73
1587,Potato,Kharif & Rabbi,31,62,40,46,58,55,0.075,0.477,0.718,80
1588,Potato,Kharif & Rabbi,27,25,57,70,37,40,0.091,0.531,0.649,69
1589,Potato,Kharif & Rabbi,25,32,43,70,51,44,0.096,0.449,0.661,59
1590,Potato,Kharif & Rabbi,36,53,58,30,52,54,0.1,0.465,0.786,74
1591,Potato,Kharif & Rabbi,32,41,36,77,54,44,0.049,0.417,0.698,51
1592,Potato,Kharif & Rabbi,32,25,47,80,47,38,0.109,0.535,0.742,63
1593,Potato,Kharif & Rabbi,29,41,63,74,43,43,0.109,0.52,0.738,64
1594,Potato,Kharif & Rabbi,31,25,34,67,54,45,0.081,0.42,0.619,61
1595,Potato,Kharif & Rabbi,34,60,42,55,49,56,0.125,0.47,0.72,69
1596,Potato,Kharif & Rabbi,33,58,37,47,46,86,0.127,0.533,0.774,76
1597,Potato,Kharif & Rabbi,30,59,34,34,39,78,0.135,0.499,0.777,90
1598,Potato,Kharif & Rabbi,33,41,38,81,43,42,0.093,0.526,0.736,65
1599,Potato,Kharif & Rabbi,32,55,50,29,51,48,0.074,0.487,0.81,79
1600,Potato,Kharif & Rabbi,33,51,34,44,55,54,0.094,0.557,0.763,73
1601,Potato,Kharif & Rabbi,36,26,46,80,50,49,0.052,0.526,0.622,55
1602,Potato,Kharif & Rabbi,33,60,60,31,40,85,0.063,0.459,0.719,76
1603,Potato,Kharif & Rabbi,31,60,61,29,36,75,0.083,0.49,0.823,78
1604,Potato,Kharif & Rabbi,33,41,39,75,43,48,0.118,0.496,0.532,65
1605,Potato,Kharif & Rabbi,35,48,46,76,47,42,0.11,0.517,0.722,63
1606,Potato,Kharif & Rabbi,34,47,54,70,43,50,0.088,0.414,0.73,65
1607,Potato,Kharif & Rabbi,29,47,53,67,43,45,0.043,0.434,0.692,68
1608,Potato,Kharif & Rabbi,32,28,43,74,57,46,0.06,0.496,0.652,59
1609,Potato,Kharif & Rabbi,32,46,41,69,33,38,0.056,0.468,0.523,60
1610,Potato,Kharif & Rabbi,29,26,53,77,51,33,0.089,0.413,0.607,69
1611,Potato,Kharif & Rabbi,28,45,68,73,43,51,0.06,0.474,0.571,67
1612,Potato,Kharif & Rabbi,29,65,49,55,59,35,0.092,0.477,0.777,65
1613,Potato,Kharif & Rabbi,27,63,43,48,49,80,0.129,0.57,0.737,82
1614,Potato,Kharif & Rabbi,25,28,53,71,54,47,0.06,0.501,0.568,53
1615,Potato,Kharif & Rabbi,35,37,43,59,52,37,0.055,0.506,0.547,66
1616,Potato,Kharif & Rabbi,27,28,52,72,51,47,0.077,0.461,0.666,70
1617,Potato,Kharif & Rabbi,36,71,55,28,56,46,0.068,0.469,0.797,78
1618,Potato,Kharif & Rabbi,31,65,52,32,59,49,0.094,0.507,0.785,81
1619,Potato,Kharif & Rabbi,36,34,64,59,56,32,0.112,0.44,0.751,71
1620,Potato,Kharif & Rabbi,31,41,36,79,38,39,0.112,0.47,0.676,66
1621,Potato,Kharif & Rabbi,34,43,49,73,61,46,0.059,0.449,0.602,71
1622,Potato,Kharif & Rabbi,32,36,45,76,36,55,0.049,0.532,0.535,59
1623,Potato,Kharif & Rabbi,30,33,58,66,43,50,0.04,0.454,0.712,67
1624,Potato,Kharif & Rabbi,26,38,46,73,48,47,0.109,0.39,0.638,62
1625,Potato,Kharif & Rabbi,31,29,58,68,32,40,0.067,0.464,0.571,59
1626,Potato,Kharif & Rabbi,33,35,40,68,46,53,0.048,0.444,0.605,61
1627,Potato,Kharif & Rabbi,28,66,58,26,49,83,0.073,0.458,0.719,81
1628,Potato,Kharif & Rabbi,31,39,34,72,58,46,0.092,0.408,0.604,66
1629,Potato,Kharif & Rabbi,28,26,48,63,40,40,0.097,0.496,0.623,64
1630,Potato,Kharif & Rabbi,33,23,67,64,61,48,0.053,0.538,0.633,60
1631,Potato,Kharif & Rabbi,33,27,52,59,39,56,0.112,0.372,0.547,70
1632,Potato,Kharif & Rabbi,36,70,48,50,56,45,0.097,0.578,0.828,65
1633,Potato,Kharif & Rabbi,25,39,67,63,57,32,0.108,0.53,0.541,67
1634,Potato,Kharif & Rabbi,25,70,38,46,52,43,0.128,0.547,0.768,67
1635,Potato,Kharif & Rabbi,36,32,35,61,53,42,0.053,0.521,0.755,63
1636,Potato,Kharif & Rabbi,27,51,36,54,47,40,0.137,0.469,0.828,71
1637,Potato,Kharif & Rabbi,26,24,59,73,32,45,0.115,0.4,0.529,66
1638,Potato,Kharif & Rabbi,33,53,56,26,43,83,0.088,0.46,0.813,84
1639,Potato,Kharif & Rabbi,29,51,43,42,60,42,0.115,0.523,0.725,79
1640,Potato,Kharif & Rabbi,30,51,46,53,59,37,0.06,0.536,0.804,56
1641,Potato,Kharif & Rabbi,36,54,62,30,36,82,0.1,0.482,0.722,75
1642,Potato,Kharif & Rabbi,26,45,60,60,40,55,0.116,0.424,0.607,58
1643,Potato,Kharif & Rabbi,31,33,48,76,33,42,0.097,0.441,0.706,60
1644,Potato,Kharif & Rabbi,35,46,67,67,55,35,0.1,0.38,0.619,52
1645,Potato,Kharif & Rabbi,25,26,34,68,45,41,0.096,0.401,0.731,69
1646,Potato,Kharif & Rabbi,27,44,40,69,50,40,0.052,0.38,0.597,65
1647,Potato,Kharif & Rabbi,31,54,36,45,43,82,0.125,0.456,0.722,86
1648,Potato,Kharif & Rabbi,33,54,63,27,38,75,0.064,0.458,0.823,81
1649,Potato,Kharif & Rabbi,34,68,68,25,44,82,0.121,0.465,0.738,83
1650,Potato,Kharif & Rabbi,27,64,56,30,32,73,0.081,0.468,0.826,90
1651,Potato,Kharif & Rabbi,29,44,37,76,35,49,0.066,0.45,0.714,68
1652,Potato,Kharif & Rabbi,32,34,64,67,37,38,0.057,0.399,0.558,68
1653,Potato,Kharif & Rabbi,27,29,65,66,36,43,0.042,0.38,0.761,65
1654,Potato,Kharif & Rabbi,28,46,48,75,38,38,0.085,0.517,0.589,69
1655,Potato,Kharif & Rabbi,25,54,68,24,35,74,0.086,0.521,0.762,80
1656,Potato,Kharif & Rabbi,30,31,46,63,40,38,0.115,0.448,0.758,68
1657,Potato,Kharif & Rabbi,26,32,65,68,46,49,0.04,0.402,0.53,68
1658,Potato,Kharif & Rabbi,25,50,43,47,42,81,0.111,0.475,0.768,87
1659,Potato,Kharif & Rabbi,30,34,42,69,55,33,0.071,0.538,0.768,69
1660,Potato,Kharif & Rabbi,26,34,59,66,47,51,0.058,0.437,0.581,68
1661,Potato,Kharif & Rabbi,29,61,56,33,59,55,0.13,0.524,0.803,79
1662,Potato,Kharif & Rabbi,34,65,48,50,48,83,0.067,0.455,0.761,68
1663,Potato,Kharif & Rabbi,35,54,63,33,35,86,0.074,0.567,0.777,91
1664,Potato,Kharif & Rabbi,25,56,46,37,53,51,0.1,0.567,0.825,79
1665,Potato,Kharif & Rabbi,27,41,54,78,41,44,0.055,0.523,0.715,65
1666,Potato,Kharif & Rabbi,32,53,60,30,59,44,0.094,0.535,0.813,78
1667,Potato,Kharif & Rabbi,32,30,53,67,43,51,0.073,0.438,0.711,65
1668,Potato,Kharif & Rabbi,25,68,43,42,51,53,0.092,0.495,0.746,69
1669,Potato,Kharif & Rabbi,32,65,58,25,49,80,0.101,0.478,0.758,91
1670,Potato,Kharif & Rabbi,35,34,63,74,47,39,0.064,0.452,0.55,59
1671,Potato,Kharif & Rabbi,30,47,39,72,43,45,0.074,0.384,0.731,64
1672,Potato,Kharif & Rabbi,28,67,66,25,48,73,0.078,0.461,0.777,79
1673,Potato,Kharif & Rabbi,30,49,40,70,38,44,0.107,0.46,0.652,61
1674,Potato,Kharif & Rabbi,30,25,63,75,59,31,0.063,0.448,0.69,57
1675,Potato,Kharif & Rabbi,28,71,51,28,32,82,0.088,0.571,0.749,89
1676,Potato,Kharif & Rabbi,34,43,47,67,42,56,0.07,0.397,0.642,64
1677,Potato,Kharif & Rabbi,34,43,65,81,42,39,0.052,0.447,0.695,58
1678,Potato,Kharif & Rabbi,31,31,56,71,54,38,0.097,0.508,0.723,51
1679,Potato,Kharif & Rabbi,35,34,45,65,47,44,0.091,0.393,0.748,60
1680,Potato,Kharif & Rabbi,31,54,43,34,56,60,0.063,0.472,0.801,81
1681,Potato,Kharif & Rabbi,26,38,63,78,57,34,0.095,0.434,0.553,55
1682,Potato,Kharif & Rabbi,35,54,51,33,53,57,0.102,0.524,0.83,74
1683,Potato,Kharif & Rabbi,25,58,38,38,54,52,0.107,0.464,0.762,76
1684,Potato,Kharif & Rabbi,27,56,57,28,59,61,0.086,0.533,0.782,70
1685,Potato,Kharif & Rabbi,34,66,62,24,57,49,0.095,0.461,0.754,70
1686,Potato,Kharif & Rabbi,30,45,41,81,52,44,0.101,0.436,0.639,55
1687,Potato,Kharif & Rabbi,33,36,37,63,44,50,0.072,0.389,0.616,60
1688,Potato,Kharif & Rabbi,31,23,63,76,35,51,0.112,0.521,0.725,64
1689,Potato,Kharif & Rabbi,28,41,37,71,43,46,0.042,0.458,0.69,58
1690,Potato,Kharif & Rabbi,26,70,57,24,34,85,0.084,0.485,0.74,88
1691,Potato,Kharif & Rabbi,28,43,55,76,48,54,0.055,0.516,0.684,62
1692,Potato,Kharif & Rabbi,28,57,53,26,56,50,0.109,0.533,0.811,81
1693,Potato,Kharif & Rabbi,31,35,35,69,60,30,0.066,0.478,0.673,57
1694,Potato,Kharif & Rabbi,28,39,39,69,44,45,0.074,0.407,0.767,70
1695,Potato,Kharif & Rabbi,28,34,46,58,49,38,0.082,0.376,0.613,64
1696,Potato,Kharif & Rabbi,36,54,55,26,37,78,0.088,0.599,0.727,74
1697,Potato,Kharif & Rabbi,33,28,47,77,43,44,0.117,0.41,0.71,69
1698,Potato,Kharif & Rabbi,34,32,47,67,56,43,0.065,0.378,0.573,58
1699,Potato,Kharif & Rabbi,25,53,44,51,33,56,0.105,0.574,0.759,65
1700,Potato,Kharif & Rabbi,29,68,51,25,50,45,0.087,0.528,0.791,80
1701,Potato,Kharif & Rabbi,28,49,68,73,51,44,0.104,0.423,0.615,51
1702,Potato,Kharif & Rabbi,25,26,65,73,43,47,0.059,0.403,0.566,64
1703,Potato,Kharif & Rabbi,28,32,67,78,38,53,0.102,0.474,0.756,62
1704,Potato,Kharif & Rabbi,27,56,62,26,44,76,0.093,0.521,0.72,80
1705,Potato,Kharif & Rabbi,29,56,58,27,52,48,0.122,0.585,0.765,81
1706,Potato,Kharif & Rabbi,36,58,67,31,40,82,0.134,0.48,0.762,86
1707,Potato,Kharif & Rabbi,36,25,37,62,39,50,0.057,0.499,0.593,62
1708,Potato,Kharif & Rabbi,29,68,62,27,41,77,0.119,0.541,0.756,87
1709,Potato,Kharif & Rabbi,31,66,63,26,59,61,0.133,0.55,0.797,75
1710,Potato,Kharif & Rabbi,36,65,62,28,48,86,0.084,0.469,0.825,79
1711,Potato,Kharif & Rabbi,32,39,38,74,54,44,0.114,0.443,0.638,64
1712,Potato,Kharif & Rabbi,29,69,41,48,57,55,0.129,0.474,0.825,78
1713,Potato,Kharif & Rabbi,34,62,61,31,40,86,0.075,0.555,0.757,90
1714,Potato,Kharif & Rabbi,29,24,65,66,44,54,0.04,0.515,0.621,69
1715,Potato,Kharif & Rabbi,28,59,35,51,37,49,0.063,0.459,0.825,65
1716,Potato,Kharif & Rabbi,31,44,34,71,42,57,0.08,0.528,0.598,61
1717,Potato,Kharif & Rabbi,26,43,66,62,34,39,0.068,0.424,0.561,68
1718,Potato,Kharif & Rabbi,27,45,43,80,52,48,0.087,0.388,0.642,54
1719,Potato,Kharif & Rabbi,26,54,37,40,39,81,0.069,0.47,0.822,76
1720,Potato,Kharif & Rabbi,29,38,67,74,32,43,0.048,0.387,0.594,71
1721,Potato,Kharif & Rabbi,36,28,64,78,60,35,0.113,0.464,0.715,62
1722,Potato,Kharif & Rabbi,34,32,66,70,51,43,0.106,0.515,0.622,55
1723,Potato,Kharif & Rabbi,33,46,64,62,60,35,0.061,0.436,0.718,55
1724,Potato,Kharif & Rabbi,33,67,52,26,55,61,0.128,0.587,0.713,79
1725,Potato,Kharif & Rabbi,27,34,45,77,52,37,0.085,0.482,0.663,66
1726,Potato,Kharif & Rabbi,31,60,66,25,39,78,0.089,0.566,0.782,86
1727,Potato,Kharif & Rabbi,27,44,64,62,41,50,0.045,0.47,0.653,66
1728,Potato,Kharif & Rabbi,27,56,51,33,48,79,0.09,0.556,0.785,88
1729,Potato,Kharif & Rabbi,34,56,67,31,39,79,0.098,0.507,0.746,76
1730,Potato,Kharif & Rabbi,31,53,37,42,51,46,0.08,0.586,0.81,75
1731,Potato,Kharif & Rabbi,35,55,47,34,44,75,0.097,0.523,0.745,77
1732,Potato,Kharif & Rabbi,32,48,67,69,41,53,0.09,0.401,0.58,66
1733,Potato,Kharif & Rabbi,25,32,61,74,60,37,0.045,0.524,0.719,62
1734,Potato,Kharif & Rabbi,34,31,45,70,48,44,0.104,0.521,0.618,64
1735,Potato,Kharif & Rabbi,36,57,45,55,38,52,0.094,0.554,0.816,62
1736,Potato,Kharif & Rabbi,25,57,65,29,51,55,0.073,0.587,0.815,76
1737,Potato,Kharif & Rabbi,32,29,46,70,45,57,0.041,0.5,0.715,66
1738,Potato,Kharif & Rabbi,30,30,60,61,61,36,0.096,0.43,0.728,67
1739,Potato,Kharif & Rabbi,30,42,63,73,52,41,0.094,0.395,0.631,62
1740,Potato,Kharif & Rabbi,32,35,36,66,61,33,0.071,0.487,0.599,51
1741,Potato,Kharif & Rabbi,36,32,67,62,37,49,0.116,0.397,0.565,60
1742,Potato,Kharif & Rabbi,28,70,68,31,47,83,0.068,0.515,0.746,86
1743,Potato,Kharif & Rabbi,31,55,50,27,55,44,0.101,0.525,0.717,71
1744,Potato,Kharif & Rabbi,36,28,34,71,45,50,0.119,0.377,0.589,59
1745,Potato,Kharif & Rabbi,33,70,64,33,58,52,0.082,0.548,0.776,79
1746,Potato,Kharif & Rabbi,32,52,38,54,47,40,0.095,0.532,0.759,67
1747,Potato,Kharif & Rabbi,27,52,64,30,57,43,0.13,0.583,0.719,67
1748,Potato,Kharif & Rabbi,35,55,41,55,32,56,0.097,0.478,0.786,67
1749,Potato,Kharif & Rabbi,36,58,62,33,32,87,0.082,0.504,0.822,87
1750,Potato,Kharif & Rabbi,34,24,68,76,48,55,0.074,0.468,0.616,66
1751,Potato,Kharif & Rabbi,34,30,56,66,46,54,0.048,0.534,0.647,68
1752,Potato,Kharif & Rabbi,30,41,47,78,45,46,0.048,0.508,0.642,60
1753,Potato,Kharif & Rabbi,35,57,52,30,47,81,0.091,0.462,0.765,75
1754,Potato,Kharif & Rabbi,32,57,60,27,60,54,0.08,0.568,0.753,78
1755,Potato,Kharif & Rabbi,25,49,53,68,59,41,0.054,0.421,0.641,56
1756,Potato,Kharif & Rabbi,35,50,48,44,58,45,0.123,0.5,0.738,68
1757,Potato,Kharif & Rabbi,29,23,50,75,46,50,0.116,0.372,0.587,59
1758,Potato,Kharif & Rabbi,28,43,55,68,40,54,0.089,0.443,0.638,59
1759,Potato,Kharif & Rabbi,27,56,45,52,55,47,0.086,0.479,0.738,64
1760,Potato,Kharif & Rabbi,32,27,35,81,35,52,0.078,0.511,0.667,71
1761,Potato,Kharif & Rabbi,33,39,65,81,50,33,0.106,0.371,0.555,65
1762,Potato,Kharif & Rabbi,31,38,38,67,37,39,0.07,0.517,0.61,62
1763,Potato,Kharif & Rabbi,30,28,38,73,58,31,0.083,0.519,0.669,67
1764,Potato,Kharif & Rabbi,27,32,66,80,44,41,0.063,0.428,0.651,69
1765,Potato,Kharif & Rabbi,31,63,47,53,51,35,0.133,0.492,0.76,60
1766,Potato,Kharif & Rabbi,27,58,59,30,43,75,0.109,0.515,0.713,80
1767,Potato,Kharif & Rabbi,26,69,51,26,43,72,0.113,0.545,0.758,82
1768,Potato,Kharif & Rabbi,26,27,47,70,58,38,0.069,0.392,0.66,52
1769,Potato,Kharif & Rabbi,31,40,58,70,57,49,0.115,0.489,0.55,51
1770,Potato,Kharif & Rabbi,35,64,39,43,38,83,0.073,0.558,0.749,79
1771,Potato,Kharif & Rabbi,30,70,45,43,49,80,0.062,0.462,0.803,89
1772,Potato,Kharif & Rabbi,26,52,55,29,33,75,0.112,0.597,0.806,78
1773,Potato,Kharif & Rabbi,29,41,36,79,49,50,0.086,0.415,0.682,64
1774,Potato,Kharif & Rabbi,29,50,34,54,53,35,0.134,0.521,0.747,59
1775,Potato,Kharif & Rabbi,27,37,68,73,52,41,0.088,0.535,0.672,61
1776,Potato,Kharif & Rabbi,31,27,39,60,59,31,0.054,0.467,0.625,68
1777,Potato,Kharif & Rabbi,36,61,45,56,52,38,0.092,0.577,0.755,60
1778,Potato,Kharif & Rabbi,27,24,53,74,38,46,0.048,0.424,0.691,61
1779,Potato,Kharif & Rabbi,31,61,34,42,46,80,0.108,0.489,0.828,79
1780,Potato,Kharif & Rabbi,30,66,34,42,35,79,0.129,0.494,0.769,79
1781,Potato,Kharif & Rabbi,31,62,46,50,41,85,0.065,0.5,0.776,63
1782,Potato,Kharif & Rabbi,33,63,44,52,40,47,0.084,0.502,0.756,65
1783,Potato,Kharif & Rabbi,27,60,42,53,43,49,0.069,0.51,0.815,61
1784,Potato,Kharif & Rabbi,27,30,39,61,49,43,0.062,0.414,0.639,71
1785,Potato,Kharif & Rabbi,33,47,34,70,61,30,0.092,0.482,0.545,60
1786,Potato,Kharif & Rabbi,26,61,50,27,37,78,0.072,0.496,0.809,80
1787,Potato,Kharif & Rabbi,30,66,44,49,47,85,0.128,0.478,0.722,82
1788,Potato,Kharif & Rabbi,25,50,50,27,55,44,0.092,0.538,0.797,72
1789,Potato,Kharif & Rabbi,34,67,57,26,35,73,0.076,0.459,0.724,74
1790,Potato,Kharif & Rabbi,36,49,54,62,42,54,0.07,0.522,0.611,64
1791,Potato,Kharif & Rabbi,27,58,56,27,46,86,0.079,0.556,0.717,86
1792,Potato,Kharif & Rabbi,36,63,44,49,35,82,0.07,0.546,0.74,83
1793,Potato,Kharif & Rabbi,26,67,62,32,58,61,0.126,0.53,0.766,76
1794,Potato,Kharif & Rabbi,26,63,46,42,54,56,0.08,0.584,0.742,67
1795,Potato,Kharif & Rabbi,28,23,64,74,59,43,0.107,0.401,0.545,64
1796,Potato,Kharif & Rabbi,34,37,55,65,48,54,0.065,0.481,0.71,66
1797,Potato,Kharif & Rabbi,32,29,45,64,48,49,0.076,0.415,0.528,68
1798,Potato,Kharif & Rabbi,35,23,35,77,43,43,0.107,0.39,0.57,62
1799,Potato,Kharif & Rabbi,28,49,34,74,61,32,0.042,0.385,0.767,67
1800,Potato,Kharif & Rabbi,35,34,42,69,48,45,0.104,0.482,0.565,58
1801,Potato,Kharif & Rabbi,34,42,58,65,32,40,0.043,0.401,0.641,58
1802,Potato,Kharif & Rabbi,26,67,41,37,46,77,0.129,0.462,0.815,78
1803,Potato,Kharif & Rabbi,36,47,49,72,50,39,0.096,0.403,0.725,58
1804,Potato,Kharif & Rabbi,36,36,59,58,55,41,0.054,0.537,0.557,66
1805,Potato,Kharif & Rabbi,31,57,51,30,59,52,0.116,0.49,0.769,72
1806,Potato,Kharif & Rabbi,35,55,44,36,38,76,0.061,0.454,0.826,87
1807,Potato,Kharif & Rabbi,32,38,59,79,45,53,0.109,0.466,0.615,65
1808,Potato,Kharif & Rabbi,30,36,54,62,44,45,0.11,0.493,0.537,67
1809,Potato,Kharif & Rabbi,29,31,42,75,34,53,0.051,0.535,0.716,68
1810,Potato,Kharif & Rabbi,34,54,56,24,47,86,0.087,0.583,0.827,85
1811,Potato,Kharif & Rabbi,36,30,54,69,51,34,0.093,0.531,0.667,53
1812,Potato,Kharif & Rabbi,34,25,36,61,54,38,0.067,0.539,0.535,61
1813,Potato,Kharif & Rabbi,34,32,54,71,44,45,0.044,0.4,0.629,64
1814,Potato,Kharif & Rabbi,27,55,34,40,57,58,0.105,0.523,0.74,70
1815,Potato,Kharif & Rabbi,25,51,57,30,39,86,0.122,0.527,0.781,81
1816,Potato,Kharif & Rabbi,26,32,63,62,42,45,0.105,0.475,0.613,70
1817,Potato,Kharif & Rabbi,29,30,67,78,61,35,0.103,0.374,0.669,55
1818,Potato,Kharif & Rabbi,27,51,51,26,49,84,0.112,0.514,0.739,79
1819,Potato,Kharif & Rabbi,27,67,55,29,38,72,0.083,0.589,0.72,85
1820,Potato,Kharif & Rabbi,31,32,39,59,48,42,0.095,0.499,0.546,66
1821,Potato,Kharif & Rabbi,26,26,39,62,39,52,0.078,0.456,0.766,66
1822,Potato,Kharif & Rabbi,26,36,59,61,34,48,0.064,0.53,0.604,58
1823,Potato,Kharif & Rabbi,31,70,49,35,32,75,0.095,0.564,0.715,79
1824,Potato,Kharif & Rabbi,36,27,62,80,53,46,0.114,0.386,0.551,59
1825,Potato,Kharif & Rabbi,35,65,48,42,42,72,0.133,0.479,0.757,85
1826,Potato,Kharif & Rabbi,34,68,50,32,35,87,0.101,0.491,0.783,88
1827,Potato,Kharif & Rabbi,30,60,37,53,37,44,0.127,0.584,0.816,61
1828,Potato,Kharif & Rabbi,30,49,65,75,32,50,0.068,0.402,0.631,60
1829,Potato,Kharif & Rabbi,28,44,39,67,32,47,0.079,0.387,0.539,70
1830,Potato,Kharif & Rabbi,32,38,53,58,39,50,0.106,0.508,0.679,69
1831,Potato,Kharif & Rabbi,35,51,53,26,54,61,0.085,0.488,0.72,70
1832,Potato,Kharif & Rabbi,25,28,56,65,61,34,0.048,0.478,0.534,54
1833,Potato,Kharif & Rabbi,32,59,40,45,59,61,0.065,0.537,0.812,78
1834,Potato,Kharif & Rabbi,31,27,37,65,58,30,0.08,0.456,0.581,61
1835,Potato,Kharif & Rabbi,36,67,40,50,54,49,0.098,0.556,0.828,57
1836,Potato,Kharif & Rabbi,26,29,44,66,59,34,0.056,0.455,0.676,69
1837,Potato,Kharif & Rabbi,26,67,67,26,51,45,0.084,0.465,0.814,79
1838,Potato,Kharif & Rabbi,35,59,41,53,32,51,0.136,0.524,0.762,64
1839,Potato,Kharif & Rabbi,29,45,67,74,42,52,0.114,0.386,0.575,69
1840,Potato,Kharif & Rabbi,36,47,45,63,55,33,0.067,0.527,0.585,53
1841,Potato,Kharif & Rabbi,34,62,51,25,38,85,0.099,0.554,0.796,78
1842,Potato,Kharif & Rabbi,25,43,51,59,60,42,0.045,0.502,0.654,62
1843,Potato,Kharif & Rabbi,36,64,54,27,37,83,0.093,0.487,0.787,87
1844,Potato,Kharif & Rabbi,26,59,59,24,52,50,0.128,0.596,0.829,75
1845,Potato,Kharif & Rabbi,32,39,57,62,57,42,0.096,0.417,0.593,67
1846,Potato,Kharif & Rabbi,29,45,48,71,40,44,0.087,0.528,0.61,61
1847,Potato,Kharif & Rabbi,29,35,39,72,33,51,0.106,0.382,0.762,67
1848,Potato,Kharif & Rabbi,31,45,60,70,46,55,0.081,0.507,0.719,65
1849,Potato,Kharif & Rabbi,26,45,50,61,55,35,0.107,0.415,0.713,68
1850,Potato,Kharif & Rabbi,31,31,59,79,40,44,0.1,0.477,0.625,65
1851,Potato,Kharif & Rabbi,36,26,40,64,51,44,0.075,0.46,0.603,65
1852,Potato,Kharif & Rabbi,33,40,59,60,38,45,0.092,0.491,0.678,59
1853,Potato,Kharif & Rabbi,32,54,60,26,40,75,0.121,0.589,0.724,86
1854,Potato,Kharif & Rabbi,31,62,62,27,43,73,0.062,0.507,0.782,83
1855,Potato,Kharif & Rabbi,36,45,48,78,42,42,0.099,0.488,0.575,70
1856,Potato,Kharif & Rabbi,29,66,63,25,58,60,0.098,0.548,0.738,77
1857,Potato,Kharif & Rabbi,29,55,61,27,52,58,0.096,0.532,0.793,81
1858,Potato,Kharif & Rabbi,34,48,46,73,34,38,0.114,0.452,0.752,69
1859,Potato,Kharif & Rabbi,34,64,61,25,50,53,0.09,0.488,0.744,74
1860,Potato,Kharif & Rabbi,32,29,51,61,47,38,0.065,0.487,0.675,65
1861,Potato,Kharif & Rabbi,33,35,41,70,34,46,0.067,0.48,0.555,71
1862,Potato,Kharif & Rabbi,30,36,57,67,40,52,0.055,0.505,0.753,61
1863,Potato,Kharif & Rabbi,27,57,35,47,51,47,0.081,0.518,0.718,81
